Sum of Number_of_Casualties,,,,,,,,,,,,,,,,,
4339,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Accident_Severity,Sum of Number_of_Casualties,, Fatal Severity,,,,,, Serious Severity,,,,,,,,
Fatal,101,,Fatal,101,2.3%,,,,Serious,648,14.9%,,,, Slight Severity,,
Serious,648,,other,4238,97.7%,,,,other,3691,85.1%,,,,Slight,3590,82.7%
Slight,3590,,,,,,,,,,,,,,other,749,17.3%
Grand Total,4339,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Vehicle_Type,Sum of Number_of_Vehicles,,,,,,,,,,,,,,,,
Agricultural vehicle,9,,,Car Causalties,,,,,,,,,,,,,
Cars,4603,,,Cars,4603,81%,,,,,,,,,,,
Bus,179,,,Other,1054,19%,,,,,,,,,,,
Van,398,,,,,,,,,,,,,,,,
Bike,429,,,,,,,,,,,,,,,,
Other,39,,,,,,,,,,,,,,,,
Grand Total,5657,,,,,,,,,,,,,,,,
